sale_id,sale_date,product_id,store_id,quantity,payment_method
1,2023-01-01,85,44,3,Card
2,2023-01-01,82,41,3,Card
3,2023-01-01,139,3,3,Cash
4,2023-01-01,61,41,3,Card
5,2023-01-01,59,48,1,Card
6,2023-01-01,26,49,3,Online
7,2023-01-01,26,29,1,Online
8,2023-01-01,77,2,1,Card
9,2023-01-01,15,19,2,Card
10,2023-01-01,111,10,1,Online
11,2023-01-01,106,37,3,Cash
12,2023-01-01,44,12,1,Online
13,2023-01-01,98,40,3,Cash
14,2023-01-01,128,38,1,Cash
15,2023-01-01,119,41,2,Card
16,2023-01-01,66,43,1,Card
17,2023-01-01,74,44,3,Cash
18,2023-01-01,19,29,2,Online
19,2023-01-01,77,41,2,Online
20,2023-01-01,65,30,2,Cash
21,2023-01-01,99,31,1,Cash
22,2023-01-01,98,37,2,Online
23,2023-01-01,76,45,2,Cash
24,2023-01-01,169,26,2,Cash
25,2023-01-01,145,44,3,Cash
26,2023-01-01,156,48,2,Card
27,2023-01-01,199,15,3,Card
28,2023-01-01,57,41,1,Online
29,2023-01-01,65,44,3,Online
30,2023-01-01,175,9,3,Cash
31,2023-01-01,161,42,1,Card
32,2023-01-01,113,3,3,Card
33,2023-01-01,188,9,1,Card
34,2023-01-01,84,48,2,Cash
35,2023-01-01,52,9,3,Card
36,2023-01-01,136,33,2,Cash
37,2023-01-01,66,31,2,Online
38,2023-01-01,87,8,2,Cash
39,2023-01-01,37,49,1,Online
40,2023-01-01,186,44,2,Online
41,2023-01-01,94,6,2,Cash
42,2023-01-01,68,35,1,Card
43,2023-01-01,95,44,3,Online
44,2023-01-01,68,38,2,Online
45,2023-01-01,96,7,3,Cash
46,2023-01-01,121,2,3,Online
47,2023-01-01,84,40,1,Online
48,2023-01-01,17,41,2,Online
49,2023-01-01,78,42,2,Cash
50,2023-01-01,36,3,1,Card
51,2023-01-01,127,8,1,Cash
52,2023-01-01,138,9,2,Card
53,2023-01-01,95,43,3,Online
54,2023-01-01,139,27,3,Online
55,2023-01-01,187,10,2,Online
56,2023-01-01,26,32,3,Card
57,2023-01-01,72,3,3,Card
58,2023-01-01,56,29,2,Cash
59,2023-01-01,93,7,3,Card
60,2023-01-01,140,42,2,Cash
61,2023-01-01,102,18,1,Cash
62,2023-01-01,117,6,3,Cash
63,2023-01-01,165,41,3,Cash
